Product name,Condition,Order Number,Description,Rating,01.12
Apple Watch Nike Series 6 44mm Vesmírně šedý hliník s antracitovým/černým sportovním řemínkem Nike,Skladem,JA059c1o,"Chytré hodinky - unisex s měřením tepu ze zápěstí, Apple Pay, krokoměr, výpočet kalorií, měření saturace kyslíku v krvi, měření rychlosti, měření vystoupaných pater, měření EKG, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, sledování menstruačního cyklu, telefonování přes spárovaný telefon, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), watchOS, kompatibilní s iOS, vyžadují iPhone 6s a novější, ion-x sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","5,0",12 290
Honor Watch Magic 2 46mm Steel,Skladem,HON008,"Chytré hodinky - pánské s měřením tepu ze zápěstí, krokoměr, výpočet kalorií, monitoring spánku, GPS, barometr, gyroskop, kompas, připojení pomocí Bluetooth, ovládání mobilu, notifikace z mobilu, hledání telefonu, hodnota vodotěsnosti 50 m (5 ATM), Lite OS, kompatibilní s Android a iOS, kapacita úložiště 4000 MB, křemičité sklíčko, materiál řemínku: kůže","4,7",3 490
Huawei Watch GT 2 46 mm Black Fluoroelastomer Strap,Skladem,HU4692b1,"Chytré hodinky - pánské s měřením tepu ze zápěstí, výpočet kalorií, měření vzdálenosti, monitoring spánku, GPS, barometr, výškoměr, kompas, senzor pro intenzitu světla, oxymetr, připojení pomocí Bluetooth, stav baterie, přehrávač hudby, notifikace z mobilu, hledání telefonu, telefonování přes spárovaný telefon, hodnota vodotěsnosti 50 m (5 ATM), Lite OS, kompatibilní s Android a iOS, kapacita úložiště 4000 MB, materiál řemínku: silikon, materiál pouzdra: kov","4,6",3 990
Apple Watch Nike SE 44mm Vesmírně šedý hliník s antracitovým/černým sportovním řemínkem Nike,Skladem,JA059c5l,"Chytré hodinky - unisex, Apple Pay, krokoměr, výpočet kalorií, měření rychlosti, měření vystoupaných pater, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, sledování menstruačního cyklu, telefonování přes spárovaný telefon, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), watchOS, kompatibilní s iOS, vyžadují iPhone 6s a novější, ion-x sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","5,0",8 790
Apple Watch SE 44mm Zlatý hliník s Pískově růžovým sportovním řemínkem,Skladem,JA059c5h,"Chytré hodinky - unisex, Apple Pay, krokoměr, výpočet kalorií, měření rychlosti, měření vystoupaných pater, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, sledování menstruačního cyklu, telefonování přes spárovaný telefon, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), watchOS, kompatibilní s iOS, vyžadují iPhone 6s a novější, ion-x sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","5,0",8 790
Honor Band 5 Meteorite Black,Skladem,HON004,"Fitness náramek - s přímým měřením tepu ze zápěstí, krokoměr, výpočet kalorií, monitoring spánku, měření rychlosti, záznam trasy, připojení pomocí Bluetooth, s akcelerometrem, s gyroskopem, hodnota vodotěsnosti 50 m (5 ATM), kompatibilní s Android a iOS","4,6",989
Samsung Galaxy Watch Active 2 44mm stříbrné,Skladem,SAAW0014b,"Chytré hodinky s přímým měřením tepu ze zápěstí, krokoměr, výpočet kalorií, měření rychlosti, záznam trasy, měření tempa, intervalový trénink, barometr, gyroskop, kompas, senzor pro intenzitu světla, senzor GLONASS, připojení pomocí WiFi, Bluetooth, stav baterie, notifikace z mobilu, vibrace, hledání telefonu, hodnota vodotěsnosti 50 m (5 ATM), kompatibilní s Android a iOS, kapacita úložiště 4096 MB, gorilla glass sklíčko, materiál řemínku: elastomer, materiál pouzdra: hliník","4,6",5 490
Samsung Galaxy Watch Active 2 44mm růžovo-zlaté,Skladem,SAAW0014c,"Chytré hodinky s přímým měřením tepu ze zápěstí, krokoměr, výpočet kalorií, měření rychlosti, záznam trasy, měření tempa, intervalový trénink, barometr, gyroskop, kompas, senzor pro intenzitu světla, senzor GLONASS, připojení pomocí WiFi, Bluetooth, stav baterie, notifikace z mobilu, vibrace, hledání telefonu, hodnota vodotěsnosti 50 m (5 ATM), kompatibilní s Android a iOS, kapacita úložiště 4096 MB, gorilla glass sklíčko, materiál řemínku: elastomer, materiál pouzdra: hliník","4,6",5 490
Samsung Galaxy Watch 3 45mm černé,Skladem,SaGALW3a,"Chytré hodinky - unisex s měřením tepu ze zápěstí, výpočet kalorií, měření vzdálenosti, monitoring spánku, měření rychlosti, měření vystoupaných pater, intervalový trénink, GPS, barometr, výškoměr, gyroskop, senzor pro intenzitu světla, oxymetr, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, monitoring spánku, stav baterie, přehrávač hudby, notifikace z mobilu, hledání telefonu, bezpečnostní funkce, sledování menstruačního cyklu, hodnota vodotěsnosti 50 m (5 ATM), Tizen, kompatibilní s Android a iOS, kapacita úložiště 8000 MB, gorilla glass sklíčko, materiál řemínku: kůže, materiál pouzdra: nerezová ocel","4,8",9 990
Apple Watch Series 6 40mm Vesmírně šedý hliník s černým sportovním řemínkem,Skladem,JA059c1b,"Chytré hodinky - unisex s měřením tepu ze zápěstí, Apple Pay, krokoměr, výpočet kalorií, měření saturace kyslíku v krvi, měření rychlosti, měření vystoupaných pater, měření EKG, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, oxymetr, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, sledování menstruačního cyklu, telefonování přes spárovaný telefon, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), watchOS, kompatibilní s iOS, vyžadují iPhone 6s a novější, ion-x sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","5,0",11 490
Apple Watch SE 44mm Stříbrný hliník s bílým sportovním řemínkem,Skladem,JA059c5g,"Chytré hodinky - unisex, Apple Pay, krokoměr, výpočet kalorií, měření rychlosti, měření vystoupaných pater, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, sledování menstruačního cyklu, telefonování přes spárovaný telefon, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), watchOS, kompatibilní s iOS, vyžadují iPhone 6s a novější, ion-x sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","5,0",8 790
Samsung Galaxy Watch Active 2 40mm černé,Skladem,SAAW0014d,"Chytré hodinky s přímým měřením tepu ze zápěstí, krokoměr, výpočet kalorií, měření rychlosti, záznam trasy, měření tempa, intervalový trénink, barometr, gyroskop, kompas, senzor pro intenzitu světla, senzor GLONASS, připojení pomocí WiFi, Bluetooth, stav baterie, notifikace z mobilu, vibrace, hledání telefonu, hodnota vodotěsnosti 50 m (5 ATM), kompatibilní s Android a iOS, kapacita úložiště 4096 MB, gorilla glass sklíčko, materiál řemínku: elastomer, materiál pouzdra: hliník","4,8",5 190
Huawei Watch GT 2 46 mm Brown Leather Strap,Skladem,HU4692b2,"Chytré hodinky - pánské s měřením tepu ze zápěstí, výpočet kalorií, měření vzdálenosti, monitoring spánku, GPS, barometr, výškoměr, kompas, senzor pro intenzitu světla, oxymetr, připojení pomocí Bluetooth, stav baterie, přehrávač hudby, notifikace z mobilu, hledání telefonu, telefonování přes spárovaný telefon, hodnota vodotěsnosti 50 m (5 ATM), Lite OS, kompatibilní s Android a iOS, kapacita úložiště 4000 MB, materiál řemínku: kůže, materiál pouzdra: kov","4,6",3 990
ARMODD Candywatch zlatá,Skladem,SPTsmt004,"Chytré hodinky - dámské s měřením tepu ze zápěstí, výpočet kalorií, měření vzdálenosti, monitoring spánku, měření krevního tlaku, gyroskop, připojení pomocí Bluetooth a USB, stav baterie, ovládání mobilu, notifikace z mobilu, hledání telefonu, hodnota vodotěsnosti Water resistant, kompatibilní s Android a iOS, gorilla glass sklíčko, materiál řemínku: ocel, materiál pouzdra: ocel","5,0",2 189
ARMODD Candywatch stříbrná,Skladem,SPTsmt003,"Chytré hodinky - dámské s měřením tepu ze zápěstí, výpočet kalorií, měření vzdálenosti, monitoring spánku, měření krevního tlaku, gyroskop, připojení pomocí Bluetooth a USB, stav baterie, ovládání mobilu, notifikace z mobilu, hledání telefonu, hodnota vodotěsnosti Water resistant, kompatibilní s Android a iOS, gorilla glass sklíčko, materiál řemínku: ocel, materiál pouzdra: ocel","5,0",2 189
Garmin Venu RoseGold Sand,Skladem,SKvenu03,"Chytré hodinky - dámské s měřením tepu ze zápěstí, Garmin Pay, výpočet kalorií, měření vzdálenosti, monitoring spánku, měření rychlosti, měření vystoupaných pater, intervalový trénink, GPS, výškoměr, teploměr, senzor Galileo, připojení pomocí ANT+, Bluetooth a USB, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), Connect IQ, kompatibilní s Android a iOS, kapacita úložiště 4000 MB, gorilla glass sklíčko, materiál řemínku: silikon, materiál pouzdra: ocel","4,7",9 299
Apple Watch Series 3 38mm GPS Vesmírně šedý hliník s černým sportovním řemínkem,Skladem,JA057a1b1,"Chytré hodinky - unisex s měřením tepu ze zápěstí, Apple Pay, krokoměr, výpočet kalorií, monitoring spánku, měření rychlosti, měření vystoupaných pater, GPS, barometr, výškoměr, gyroskop, senzor pro intenzitu světla, senzor Galileo, připojení pomocí WiFi a Bluetooth, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, sledování menstruačního cyklu, telefonování přes spárovaný telefon, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), watchOS, kompatibilní s iOS, vyžadují iPhone 6s a novější, kapacita úložiště 8000 MB, ion-x sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","4,9",5 690
Xiaomi Mi Band 3,Skladem,XI2900f5f,"Fitness náramek - s přímým měřením tepu ze zápěstí, krokoměr, výpočet kalorií, měření vzdálenosti, monitoring spánku, připojení pomocí Bluetooth, s akcelerometrem, hodnota vodotěsnosti 50 m (5 ATM), kompatibilní s Android a iOS","4,6",319
Honor Band 5 Coral Pink,Skladem,HON006,"Fitness náramek - s přímým měřením tepu ze zápěstí, krokoměr, výpočet kalorií, monitoring spánku, měření rychlosti, záznam trasy, připojení pomocí Bluetooth, s akcelerometrem, s gyroskopem, s oxymetrem, hodnota vodotěsnosti 50 m (5 ATM), kompatibilní s Android a iOS","4,6",989
Apple Watch Series 6 44mm Stříbrný hliník s bílým sportovním řemínkem,Skladem,JA059c1i,"Chytré hodinky - unisex s měřením tepu ze zápěstí, Apple Pay, krokoměr, výpočet kalorií, měření saturace kyslíku v krvi, měření rychlosti, měření vystoupaných pater, měření EKG, GPS, barometr, výškoměr, gyroskop, kompas, senzor pro intenzitu světla, senzor Galileo, připojení pomocí WiFi, Bluetooth a NFC, stav baterie, přehrávač hudby, ovládání mobilu, notifikace z mobilu, hledání telefonu, sledování menstruačního cyklu, telefonování přes spárovaný telefon, NFC platby, hodnota vodotěsnosti 50 m (5 ATM), watchOS, kompatibilní s iOS, vyžadují iPhone 6s a novější, ion-x sklíčko, materiál řemínku: silikon, materiál pouzdra: hliník","5,0",12 290
Honor Watch Magic 2 42mm Black,Skladem,HON009,"Chytré hodinky - unisex s měřením tepu ze zápěstí, krokoměr, výpočet kalorií, monitoring spánku, GPS, barometr, gyroskop, kompas, připojení pomocí Bluetooth, ovládání mobilu, notifikace z mobilu, hledání telefonu, hodnota vodotěsnosti 50 m (5 ATM), Lite OS, kompatibilní s Android a iOS, kapacita úložiště 4000 MB, křemičité sklíčko, materiál řemínku: elastomer, materiál pouzdra: ocel","4,5",4 999
